http://dx.doi.org/10.1007/s10288-014-0263-6no abstract
http://dx.doi.org/10.1007/s10288-014-0263-6no keywords
http://dx.doi.org/10.1007/s10288-014-0263-6no regerences
http://dx.doi.org/10.1109/TIT.2010.2040974 no institution
http://dx.doi.org/10.1109/TIT.2010.2040974 no keywords
http://dx.doi.org/10.1109/TIT.2010.2040974 no abstract
http://dx.doi.org/10.1109/TIT.2010.2040974 no abstract_html_url
http://dx.doi.org/10.1109/TIT.2010.2040974 no pdf_url
http://dx.doi.org/10.1109/TIT.2010.2040974 no doi
http://dx.doi.org/10.1109/TIT.2010.2040974 no title
http://dx.doi.org/10.1109/TIT.2010.2040974 no publisher
http://dx.doi.org/10.1109/TIT.2010.2040974 no journal_title
http://dx.doi.org/10.1109/TIT.2010.2040974 no volume
http://dx.doi.org/10.1109/TIT.2010.2040974 no issue
http://dx.doi.org/10.1109/TIT.2010.2040974 no first_page
http://dx.doi.org/10.1109/TIT.2010.2040974 no last_page
http://dx.doi.org/10.1109/TIT.2010.2040974 no issn
http://dx.doi.org/10.1109/TIT.2010.2040974 no date_of_publication
http://dx.doi.org/10.1109/TIT.2010.2040974 no authors
http://dx.doi.org/10.1109/TIT.2010.2040974 no institution
http://dx.doi.org/10.1109/TIT.2010.2040974 no keywords
http://dx.doi.org/10.1109/TIT.2010.2040974 no abstract
http://dx.doi.org/10.1109/TIT.2010.2040974 no abstract_html_url
http://dx.doi.org/10.1109/TIT.2010.2040974 no pdf_url
http://dx.doi.org/10.1109/TIT.2010.2040974 no doi
http://dx.doi.org/10.1109/TIT.2010.2040974 no title
http://dx.doi.org/10.1109/TIT.2010.2040974 no publisher
http://dx.doi.org/10.1109/TIT.2010.2040974 no journal_title
http://dx.doi.org/10.1109/TIT.2010.2040974 no volume
http://dx.doi.org/10.1109/TIT.2010.2040974 no issue
http://dx.doi.org/10.1109/TIT.2010.2040974 no first_page
http://dx.doi.org/10.1109/TIT.2010.2040974 no last_page
http://dx.doi.org/10.1109/TIT.2010.2040974 no issn
http://dx.doi.org/10.1109/TIT.2010.2040974 no date_of_publication
http://dx.doi.org/10.1109/TIT.2010.2040974 no authors
http://dx.doi.org/10.1109/TIT.2010.2040974 no institution
http://dx.doi.org/10.1109/TIT.2010.2040974 no keywords
http://dx.doi.org/10.1109/TIT.2010.2040974 no abstract
http://dx.doi.org/10.1109/TIT.2010.2069150 no institution
http://dx.doi.org/10.1109/TIT.2010.2086431 no institution
http://dx.doi.org/10.1109/TIT.2008.2009814 no institution
http://dx.doi.org/10.1109/TIT.2008.2009814 no regerences
http://dx.doi.org/10.1109/TIT.2009.2012993 no institution
http://dx.doi.org/10.1109/TIT.2009.2016067 no institution
http://dx.doi.org/10.1109/TIT.2009.2021372 no institution
http://dx.doi.org/10.1109/TIT.2009.2021372 no regerences
http://dx.doi.org/10.1109/TIT.2009.2032728 no institution
http://dx.doi.org/10.1109/TIT.2009.2032728 no abstract
http://dx.doi.org/10.1109/TIT.2009.2032709 no institution
http://dx.doi.org/10.1109/TIT.2009.2032709 no abstract
http://dx.doi.org/10.1109/TIT.2007.911289 no institution
http://dx.doi.org/10.1109/TIT.2007.915706 no institution
http://dx.doi.org/10.1109/TIT.2008.920342 no institution
http://dx.doi.org/10.1109/TIT.2008.921909 no institution
http://dx.doi.org/10.1109/TIT.2008.921909 no regerences
http://dx.doi.org/10.1109/TIT.2008.924654 no institution
http://dx.doi.org/10.1109/TIT.2008.924676 no institution
http://dx.doi.org/10.1109/TIT.2008.926304 no institution
http://dx.doi.org/10.1109/TIT.2008.928236 no institution
http://dx.doi.org/10.1109/TIT.2008.929960 no institution
http://dx.doi.org/10.1109/TIT.2008.929961 no institution
http://dx.doi.org/10.1109/TIT.2008.2006393 no institution
http://dx.doi.org/10.1109/TIT.2006.887061 no institution
http://dx.doi.org/10.1109/TIT.2006.887061 no regerences
http://dx.doi.org/10.1109/TIT.2007.896884 no institution
http://dx.doi.org/10.1109/TIT.2007.901214 no institution
http://dx.doi.org/10.1109/TIT.2007.903111 no institution
http://dx.doi.org/10.1109/TIT.2007.905003 no institution
http://dx.doi.org/10.1109/TIT.2007.905003 no regerences
http://dx.doi.org/10.1109/TIT.2007.907520 no institution
http://dx.doi.org/10.1109/TIT.2007.907504 no institution
http://dx.doi.org/10.1109/TIT.2005.864417 no institution
http://dx.doi.org/10.1109/TIT.2005.864417 no abstract
http://dx.doi.org/10.1109/TIT.2006.869753 no institution
http://dx.doi.org/10.1109/TIT.2006.869753 no abstract
http://dx.doi.org/10.1109/TIT.2006.871586 no institution
http://dx.doi.org/10.1109/TIT.2006.874965 no institution
http://dx.doi.org/10.1109/TIT.2006.874965 no abstract
http://dx.doi.org/10.1109/TIT.2006.874532 no institution
http://dx.doi.org/10.1109/TIT.2006.876214 no institution
http://dx.doi.org/10.1109/TIT.2006.878166 no institution
http://dx.doi.org/10.1109/TIT.2006.878224 no institution
http://dx.doi.org/10.1109/TIT.2006.880062 no institution
http://dx.doi.org/10.1109/TIT.2006.880062 no abstract
http://dx.doi.org/10.1109/TIT.2006.879971 no institution
http://dx.doi.org/10.1109/TIT.2006.883627 no institution
http://dx.doi.org/10.1109/TIT.2006.883627 no abstract
http://dx.doi.org/10.1109/TIT.2006.883620 no institution
http://dx.doi.org/10.1109/TIT.2006.883538 no institution
http://dx.doi.org/10.1109/TIT.2006.883538 no abstract
http://dx.doi.org/10.1109/TIT.2004.840730 no authors
http://dx.doi.org/10.1109/TIT.2004.840730 no institution
http://dx.doi.org/10.1109/TIT.2004.840730 no regerences
http://dx.doi.org/10.1109/TIT.2004.840732 no authors
http://dx.doi.org/10.1109/TIT.2004.840732 no institution
http://dx.doi.org/10.1109/TIT.2004.840732 no regerences
http://dx.doi.org/10.1109/TIT.2004.839473 no institution
http://dx.doi.org/10.1109/TIT.2004.839474 no institution
http://dx.doi.org/10.1109/TIT.2004.840891 no institution
http://dx.doi.org/10.1109/TIT.2004.842565 no regerences
http://dx.doi.org/10.1109/TIT.2004.842777 no institution
http://dx.doi.org/10.1109/TIT.2004.842774 no institution
http://dx.doi.org/10.1109/TIT.2005.844055 no last_page
http://dx.doi.org/10.1109/TIT.2005.844056 no institution
http://dx.doi.org/10.1109/TIT.2005.844056 no regerences
http://dx.doi.org/10.1109/TIT.2005.847750 no institution
http://dx.doi.org/10.1109/TIT.2005.848662 no authors
http://dx.doi.org/10.1109/TIT.2005.848662 no institution
http://dx.doi.org/10.1109/TIT.2005.850231 no institution
http://dx.doi.org/10.1109/TIT.2005.850232 no institution
http://dx.doi.org/10.1109/TIT.2005.851782 no institution
http://dx.doi.org/10.1109/TIT.2005.851782 no abstract
http://dx.doi.org/10.1109/TIT.2005.855581 no institution
http://dx.doi.org/10.1109/TIT.2005.857929 no institution
http://dx.doi.org/10.1109/TIT.2005.857929 no abstract
http://dx.doi.org/10.1109/TIT.2005.858974 no institution
http://dx.doi.org/10.1109/TIT.2004.828156 no institution
http://dx.doi.org/10.1109/TIT.2004.828156 no abstract
http://dx.doi.org/10.1109/TIT.2004.828157 no institution
http://dx.doi.org/10.1109/TIT.2004.828157 no abstract
http://dx.doi.org/10.1109/TIT.2004.828158 no institution
http://dx.doi.org/10.1109/TIT.2004.828158 no abstract
http://dx.doi.org/10.1109/TIT.2004.830747 no institution
http://dx.doi.org/10.1109/TIT.2004.830747 no abstract
http://dx.doi.org/10.1109/TIT.2004.831847 no institution
http://dx.doi.org/10.1109/TIT.2004.831847 no abstract
http://dx.doi.org/10.1109/TIT.2004.836925 no institution
http://dx.doi.org/10.1109/TIT.2004.836925 no abstract
http://dx.doi.org/10.1109/TIT.2002.806161 no last_page
http://dx.doi.org/10.1109/TIT.2002.807296 no abstract
http://dx.doi.org/10.1109/TIT.2003.813508 no institution
http://dx.doi.org/10.1109/TIT.2003.813510 no regerences
http://dx.doi.org/10.1109/TIT.2003.815800 no institution
http://dx.doi.org/10.1109/TIT.2003.817832 no institution
http://dx.doi.org/10.1109/TIT.2003.817832 no regerences
http://dx.doi.org/10.1109/TIT.2003.817424 no institution
http://dx.doi.org/10.1109/TIT.2003.817459 no regerences
http://dx.doi.org/10.1109/TIT.2003.818407 no last_page
http://dx.doi.org/10.1109/TIT.2002.971735 no keywords
http://dx.doi.org/10.1109/TIT.2002.971735 no regerences
http://dx.doi.org/10.1109/18.986029 no institution
http://dx.doi.org/10.1109/TIT.2002.992820 no keywords
http://dx.doi.org/10.1109/TIT.2002.800462 no keywords
http://dx.doi.org/10.1109/TIT.2001.904567 no keywords
http://dx.doi.org/10.1109/TIT.2001.910571 no institution
http://dx.doi.org/10.1109/TIT.2001.910571 no keywords
http://dx.doi.org/10.1109/TIT.2001.910571 no regerences
http://dx.doi.org/10.1109/TIT.2001.930952 no keywords
http://dx.doi.org/10.1109/TIT.2001.945286 no keywords
http://dx.doi.org/10.1109/18.959260 no institution
http://dx.doi.org/10.1109/TIT.2000.1282193 no keywords
http://dx.doi.org/10.1109/TIT.2000.825851 no keywords
http://dx.doi.org/10.1109/TIT.2000.841204 no regerences
http://dx.doi.org/10.1109/TIT.2000.857785 no institution
http://dx.doi.org/10.1109/TIT.2000.857785 no keywords
http://dx.doi.org/10.1109/TIT.2000.857785 no regerences
http://dx.doi.org/10.1109/TIT.2000.887895 no keywords
http://dx.doi.org/10.1109/18.746813 no last_page
http://dx.doi.org/10.1109/18.746814 no last_page
http://dx.doi.org/10.1109/18.746849 no last_page
http://dx.doi.org/10.1109/TIT.1999.782176 no institution
http://dx.doi.org/10.1109/TIT.1999.782176 no keywords
http://dx.doi.org/10.1109/TIT.1999.782177 no institution
http://dx.doi.org/10.1109/TIT.1999.782177 no regerences
http://dx.doi.org/10.1109/TIT.1998.651077 no institution
http://dx.doi.org/10.1109/18.681314 no regerences
http://dx.doi.org/10.1109/18.705579 no last_page
http://dx.doi.org/10.1109/18.720530 no institution
http://dx.doi.org/10.1109/TIT.1998.737552 no keywords
http://dx.doi.org/10.1109/TIT.1998.737552 no regerences
http://dx.doi.org/10.1109/18.605573 no abstract_html_url
http://dx.doi.org/10.1109/18.605573 no pdf_url
http://dx.doi.org/10.1109/18.605573 no doi
http://dx.doi.org/10.1109/18.605573 no title
http://dx.doi.org/10.1109/18.605573 no publisher
http://dx.doi.org/10.1109/18.605573 no journal_title
http://dx.doi.org/10.1109/18.605573 no volume
http://dx.doi.org/10.1109/18.605573 no issue
http://dx.doi.org/10.1109/18.605573 no first_page
http://dx.doi.org/10.1109/18.605573 no last_page
http://dx.doi.org/10.1109/18.605573 no issn
http://dx.doi.org/10.1109/18.605573 no date_of_publication
http://dx.doi.org/10.1109/18.605573 no authors
http://dx.doi.org/10.1109/18.605573 no institution
http://dx.doi.org/10.1109/18.605573 no keywords
http://dx.doi.org/10.1109/18.605573 no abstract
http://dx.doi.org/10.1109/18.623185 no last_page
http://dx.doi.org/10.1109/TIT.1996.481812 no last_page
http://dx.doi.org/10.1109/TIT.1996.481812 no institution
http://dx.doi.org/10.1109/TIT.1996.481813 no last_page
http://dx.doi.org/10.1109/TIT.1996.481813 no institution
http://dx.doi.org/10.1109/18.485734 no last_page
http://dx.doi.org/10.1109/TIT.1996.485743 no last_page
http://dx.doi.org/10.1109/TIT.1996.485743 no institution
http://dx.doi.org/10.1109/18.490564 no last_page
http://dx.doi.org/10.1109/18.508852 no regerences
http://dx.doi.org/10.1109/18.508853 no abstract_html_url
http://dx.doi.org/10.1109/18.508853 no pdf_url
http://dx.doi.org/10.1109/18.508853 no doi
http://dx.doi.org/10.1109/18.508853 no title
http://dx.doi.org/10.1109/18.508853 no publisher
http://dx.doi.org/10.1109/18.508853 no journal_title
http://dx.doi.org/10.1109/18.508853 no volume
http://dx.doi.org/10.1109/18.508853 no issue
http://dx.doi.org/10.1109/18.508853 no first_page
http://dx.doi.org/10.1109/18.508853 no last_page
http://dx.doi.org/10.1109/18.508853 no issn
http://dx.doi.org/10.1109/18.508853 no date_of_publication
http://dx.doi.org/10.1109/18.508853 no authors
http://dx.doi.org/10.1109/18.508853 no institution
http://dx.doi.org/10.1109/18.508853 no keywords
http://dx.doi.org/10.1109/18.508853 no abstract
http://dx.doi.org/10.1109/TIT.1996.508868 no last_page
http://dx.doi.org/10.1109/TIT.1996.508868 no institution
http://dx.doi.org/10.1109/18.108277 no last_page
http://dx.doi.org/10.1109/18.135642 no institution
http://dx.doi.org/10.1109/18.135666 no last_page
http://dx.doi.org/10.1109/18.149505 no institution
http://dx.doi.org/10.1109/18.61147 no last_page
http://dx.doi.org/10.1109/18.86982 no last_page
http://dx.doi.org/10.1109/18.104327 no last_page
http://dx.doi.org/10.1109/18.104337 no last_page
http://dx.doi.org/10.1109/18.54894 no institution
http://dx.doi.org/10.1109/18.53735 no institution
http://dx.doi.org/10.1109/18.53749 no institution
http://dx.doi.org/10.1109/18.57216 no regerences
http://dx.doi.org/10.1109/18.57226 no last_page
http://dx.doi.org/10.1109/18.32170 no last_page
http://dx.doi.org/10.1109/18.32170 no institution
http://dx.doi.org/10.1109/18.45288 no institution
http://dx.doi.org/10.1109/18.45287 no last_page
http://dx.doi.org/10.1109/18.45298 no last_page
http://dx.doi.org/10.1109/18.45298 no institution
http://dx.doi.org/10.1109/18.9787 no last_page
http://dx.doi.org/10.1109/18.9787 no institution
http://dx.doi.org/10.1109/18.21273 no institution
http://dx.doi.org/10.1109/18.21274 no last_page
http://dx.doi.org/10.1109/TIT.1987.1057251 no institution
http://dx.doi.org/10.1109/TIT.1987.1057252 no institution
http://dx.doi.org/10.1109/TIT.1987.1057253 no institution
http://dx.doi.org/10.1109/TIT.1987.1057254 no institution
http://dx.doi.org/10.1109/TIT.1987.1057255 no institution
http://dx.doi.org/10.1109/TIT.1987.1057269 no institution
http://dx.doi.org/10.1109/TIT.1987.1057270 no institution
http://dx.doi.org/10.1109/TIT.1987.1057271 no institution
http://dx.doi.org/10.1109/TIT.1987.1057272 no institution
http://dx.doi.org/10.1109/TIT.1987.1057273 no institution
http://dx.doi.org/10.1109/TIT.1987.1057274 no institution
http://dx.doi.org/10.1109/TIT.1987.1057275 no institution
http://dx.doi.org/10.1109/TIT.1987.1057276 no institution
http://dx.doi.org/10.1109/TIT.1987.1057277 no institution
http://dx.doi.org/10.1109/TIT.1987.1057268 no institution
http://dx.doi.org/10.1109/TIT.1987.1057259 no institution
http://dx.doi.org/10.1109/TIT.1987.1057260 no institution
http://dx.doi.org/10.1109/TIT.1987.1057261 no institution
http://dx.doi.org/10.1109/TIT.1987.1057262 no institution
http://dx.doi.org/10.1109/TIT.1987.1057263 no institution
http://dx.doi.org/10.1109/TIT.1987.1057264 no institution
http://dx.doi.org/10.1109/TIT.1987.1057265 no institution
http://dx.doi.org/10.1109/TIT.1987.1057266 no institution
http://dx.doi.org/10.1109/TIT.1987.1057267 no institution
http://dx.doi.org/10.1109/TIT.1987.1057256 no institution
http://dx.doi.org/10.1109/TIT.1987.1057257 no institution
http://dx.doi.org/10.1109/TIT.1987.1057258 no institution
http://dx.doi.org/10.1109/TIT.1987.1057291 no institution
http://dx.doi.org/10.1109/TIT.1987.1057292 no institution
http://dx.doi.org/10.1109/TIT.1987.1057293 no institution
http://dx.doi.org/10.1109/TIT.1987.1057294 no institution
http://dx.doi.org/10.1109/TIT.1987.1057295 no institution
http://dx.doi.org/10.1109/TIT.1987.1057290 no institution
http://dx.doi.org/10.1109/TIT.1987.1057278 no institution
http://dx.doi.org/10.1109/TIT.1987.1057284 no institution
http://dx.doi.org/10.1109/TIT.1987.1057285 no institution
http://dx.doi.org/10.1109/TIT.1987.1057286 no institution
http://dx.doi.org/10.1109/TIT.1987.1057287 no institution
http://dx.doi.org/10.1109/TIT.1987.1057288 no institution
http://dx.doi.org/10.1109/TIT.1987.1057289 no institution
http://dx.doi.org/10.1109/TIT.1987.1057279 no institution
http://dx.doi.org/10.1109/TIT.1987.1057280 no institution
http://dx.doi.org/10.1109/TIT.1987.1057281 no institution
http://dx.doi.org/10.1109/TIT.1987.1057282 no institution
http://dx.doi.org/10.1109/TIT.1987.1057283 no institution
http://dx.doi.org/10.1109/TIT.1987.1057283 no regerences
http://dx.doi.org/10.1109/TIT.1987.1057320 no institution
http://dx.doi.org/10.1109/TIT.1987.1057313 no institution
http://dx.doi.org/10.1109/TIT.1987.1057314 no institution
http://dx.doi.org/10.1109/TIT.1987.1057315 no institution
http://dx.doi.org/10.1109/TIT.1987.1057316 no institution
http://dx.doi.org/10.1109/TIT.1987.1057317 no institution
http://dx.doi.org/10.1109/TIT.1987.1057318 no institution
http://dx.doi.org/10.1109/TIT.1987.1057319 no institution
http://dx.doi.org/10.1109/TIT.1987.1057305 no institution
http://dx.doi.org/10.1109/TIT.1987.1057306 no institution
http://dx.doi.org/10.1109/TIT.1987.1057307 no institution
http://dx.doi.org/10.1109/TIT.1987.1057308 no institution
http://dx.doi.org/10.1109/TIT.1987.1057309 no institution
http://dx.doi.org/10.1109/TIT.1987.1057310 no institution
http://dx.doi.org/10.1109/TIT.1987.1057311 no institution
http://dx.doi.org/10.1109/TIT.1987.1057312 no institution
http://dx.doi.org/10.1109/TIT.1987.1057298 no institution
http://dx.doi.org/10.1109/TIT.1987.1057299 no institution
http://dx.doi.org/10.1109/TIT.1987.1057301 no institution
http://dx.doi.org/10.1109/TIT.1987.1057302 no institution
http://dx.doi.org/10.1109/TIT.1987.1057303 no institution
http://dx.doi.org/10.1109/TIT.1987.1057304 no institution
http://dx.doi.org/10.1109/TIT.1987.1057296 no institution
http://dx.doi.org/10.1109/TIT.1987.1057297 no institution
http://dx.doi.org/10.1109/TIT.1987.1057328 no institution
http://dx.doi.org/10.1109/TIT.1987.1057329 no institution
http://dx.doi.org/10.1109/TIT.1987.1057330 no institution
http://dx.doi.org/10.1109/TIT.1987.1057331 no institution
http://dx.doi.org/10.1109/TIT.1987.1057332 no institution
http://dx.doi.org/10.1109/TIT.1987.1057333 no institution
http://dx.doi.org/10.1109/TIT.1987.1057334 no institution
http://dx.doi.org/10.1109/TIT.1987.1057335 no institution
http://dx.doi.org/10.1109/TIT.1987.1057321 no institution
http://dx.doi.org/10.1109/TIT.1987.1057322 no institution
http://dx.doi.org/10.1109/TIT.1987.1057323 no institution
http://dx.doi.org/10.1109/TIT.1987.1057324 no institution
http://dx.doi.org/10.1109/TIT.1987.1057325 no institution
http://dx.doi.org/10.1109/TIT.1987.1057326 no institution
http://dx.doi.org/10.1109/TIT.1987.1057327 no institution
http://dx.doi.org/10.1109/TIT.1987.1057358 no institution
http://dx.doi.org/10.1109/TIT.1987.1057351 no institution
http://dx.doi.org/10.1109/TIT.1987.1057352 no institution
http://dx.doi.org/10.1109/TIT.1987.1057353 no institution
http://dx.doi.org/10.1109/TIT.1987.1057354 no institution
http://dx.doi.org/10.1109/TIT.1987.1057355 no institution
http://dx.doi.org/10.1109/TIT.1987.1057356 no institution
http://dx.doi.org/10.1109/TIT.1987.1057357 no institution
http://dx.doi.org/10.1109/TIT.1987.1057349 no institution
http://dx.doi.org/10.1109/TIT.1987.1057350 no institution
http://dx.doi.org/10.1109/TIT.1987.1057340 no institution
http://dx.doi.org/10.1109/TIT.1987.1057341 no institution
http://dx.doi.org/10.1109/TIT.1987.1057342 no institution
http://dx.doi.org/10.1109/TIT.1987.1057343 no institution
http://dx.doi.org/10.1109/TIT.1987.1057344 no institution
http://dx.doi.org/10.1109/TIT.1987.1057345 no institution
http://dx.doi.org/10.1109/TIT.1987.1057346 no institution
http://dx.doi.org/10.1109/TIT.1987.1057347 no institution
http://dx.doi.org/10.1109/TIT.1987.1057348 no institution
http://dx.doi.org/10.1109/TIT.1987.1057336 no institution
http://dx.doi.org/10.1109/TIT.1987.1057337 no institution
http://dx.doi.org/10.1109/TIT.1987.1057338 no institution
http://dx.doi.org/10.1109/TIT.1987.1057339 no institution
http://dx.doi.org/10.1109/TIT.1987.1057383 no institution
http://dx.doi.org/10.1109/TIT.1987.1057384 no institution
http://dx.doi.org/10.1109/TIT.1987.1057385 no institution
http://dx.doi.org/10.1109/TIT.1987.1057371 no institution
http://dx.doi.org/10.1109/TIT.1987.1057372 no institution
http://dx.doi.org/10.1109/TIT.1987.1057373 no institution
http://dx.doi.org/10.1109/TIT.1987.1057374 no institution
http://dx.doi.org/10.1109/TIT.1987.1057375 no institution
http://dx.doi.org/10.1109/TIT.1987.1057376 no institution
http://dx.doi.org/10.1109/TIT.1987.1057377 no institution
http://dx.doi.org/10.1109/TIT.1987.1057378 no institution
http://dx.doi.org/10.1109/TIT.1987.1057379 no institution
http://dx.doi.org/10.1109/TIT.1987.1057380 no institution
http://dx.doi.org/10.1109/TIT.1987.1057381 no institution
http://dx.doi.org/10.1109/TIT.1987.1057382 no institution
http://dx.doi.org/10.1109/TIT.1987.1057361 no institution
http://dx.doi.org/10.1109/TIT.1987.1057362 no institution
http://dx.doi.org/10.1109/TIT.1987.1057363 no institution
http://dx.doi.org/10.1109/TIT.1987.1057364 no institution
http://dx.doi.org/10.1109/TIT.1987.1057365 no institution
http://dx.doi.org/10.1109/TIT.1987.1057366 no institution
http://dx.doi.org/10.1109/TIT.1987.1057367 no institution
http://dx.doi.org/10.1109/TIT.1987.1057368 no institution
http://dx.doi.org/10.1109/TIT.1987.1057369 no institution
http://dx.doi.org/10.1109/TIT.1987.1057370 no institution
http://dx.doi.org/10.1109/TIT.1987.1057360 no institution
http://dx.doi.org/10.1109/TIT.1986.1057132 no institution
http://dx.doi.org/10.1109/TIT.1986.1057133 no institution
http://dx.doi.org/10.1109/TIT.1986.1057134 no institution
http://dx.doi.org/10.1109/TIT.1986.1057135 no institution
http://dx.doi.org/10.1109/TIT.1986.1057136 no institution
http://dx.doi.org/10.1109/TIT.1986.1057137 no institution
http://dx.doi.org/10.1109/TIT.1986.1057138 no institution
http://dx.doi.org/10.1109/TIT.1986.1057139 no institution
http://dx.doi.org/10.1109/TIT.1986.1057120 no institution
http://dx.doi.org/10.1109/TIT.1986.1057121 no institution
http://dx.doi.org/10.1109/TIT.1986.1057122 no institution
http://dx.doi.org/10.1109/TIT.1986.1057123 no institution
http://dx.doi.org/10.1109/TIT.1986.1057124 no institution
http://dx.doi.org/10.1109/TIT.1986.1057125 no institution
http://dx.doi.org/10.1109/TIT.1986.1057126 no institution
http://dx.doi.org/10.1109/TIT.1986.1057127 no institution
http://dx.doi.org/10.1109/TIT.1986.1057128 no institution
http://dx.doi.org/10.1109/TIT.1986.1057129 no institution
http://dx.doi.org/10.1109/TIT.1986.1057130 no institution
http://dx.doi.org/10.1109/TIT.1986.1057131 no institution
http://dx.doi.org/10.1109/TIT.1986.1057167 no institution
http://dx.doi.org/10.1109/TIT.1986.1057168 no institution
http://dx.doi.org/10.1109/TIT.1986.1057169 no institution
http://dx.doi.org/10.1109/TIT.1986.1057170 no institution
http://dx.doi.org/10.1109/TIT.1986.1057171 no institution
http://dx.doi.org/10.1109/TIT.1986.1057157 no institution
http://dx.doi.org/10.1109/TIT.1986.1057158 no institution
http://dx.doi.org/10.1109/TIT.1986.1057159 no institution
http://dx.doi.org/10.1109/TIT.1986.1057160 no institution
http://dx.doi.org/10.1109/TIT.1986.1057161 no institution
http://dx.doi.org/10.1109/TIT.1986.1057162 no institution
http://dx.doi.org/10.1109/TIT.1986.1057163 no institution
http://dx.doi.org/10.1109/TIT.1986.1057164 no institution
http://dx.doi.org/10.1109/TIT.1986.1057165 no institution
http://dx.doi.org/10.1109/TIT.1986.1057166 no institution
http://dx.doi.org/10.1109/TIT.1986.1057151 no institution
http://dx.doi.org/10.1109/TIT.1986.1057152 no institution
http://dx.doi.org/10.1109/TIT.1986.1057153 no institution
http://dx.doi.org/10.1109/TIT.1986.1057154 no institution
http://dx.doi.org/10.1109/TIT.1986.1057155 no institution
http://dx.doi.org/10.1109/TIT.1986.1057156 no institution
http://dx.doi.org/10.1109/TIT.1986.1057142 no institution
http://dx.doi.org/10.1109/TIT.1986.1057143 no institution
http://dx.doi.org/10.1109/TIT.1986.1057144 no institution
http://dx.doi.org/10.1109/TIT.1986.1057145 no institution
http://dx.doi.org/10.1109/TIT.1986.1057146 no institution
http://dx.doi.org/10.1109/TIT.1986.1057147 no institution
http://dx.doi.org/10.1109/TIT.1986.1057149 no institution
http://dx.doi.org/10.1109/TIT.1986.1057150 no institution
http://dx.doi.org/10.1109/TIT.1986.1057140 no institution
http://dx.doi.org/10.1109/TIT.1986.1057141 no institution
http://dx.doi.org/10.1109/TIT.1986.1057187 no institution
